,energy,data,data_err
593,0.02948,6.0884,0.027934
594,0.02924,6.1297,0.028358
595,0.029004,6.1952,0.028853
596,0.02877,6.261,0.029403
597,0.02854,6.2397,0.029241
598,0.028312,6.2908,0.029686
599,0.028087,6.3237,0.03009
600,0.027864,6.3138,0.030229
601,0.027644,6.426,0.031081
602,0.027427,6.469,0.031613
603,0.027212,6.4199,0.031646
604,0.027,6.4056,0.031798
605,0.02679,6.4193,0.032155
606,0.026583,6.4175,0.032422
607,0.026378,6.4881,0.033052
608,0.026175,6.5502,0.033661
609,0.025975,6.5578,0.034078
610,0.025777,6.6266,0.03487
611,0.025582,6.6256,0.035135
612,0.025388,6.4845,0.034774
613,0.025197,6.4902,0.035104
614,0.025008,6.5397,0.035678
615,0.024821,6.5947,0.036268
616,0.024636,6.6316,0.036948
617,0.024453,6.6168,0.037173
618,0.024272,6.7079,0.038106
619,0.024093,6.734,0.038712
620,0.023916,6.7691,0.039132
621,0.023741,6.788,0.039525
622,0.023568,6.8646,0.040293
623,0.023397,6.8579,0.040609
624,0.023228,6.9472,0.04113
625,0.023061,6.9387,0.040754
626,0.022895,6.9841,0.040806
627,0.022731,7.0633,0.041608
628,0.022569,7.0649,0.041761
629,0.022468,6.983,0.082413
630,0.022428,6.8379,0.080876
631,0.022389,6.8875,0.081086
632,0.022349,6.7088,0.079206
633,0.022309,6.5671,0.078134
634,0.02227,6.5587,0.07705
635,0.02223,6.5677,0.077581
636,0.022191,6.6256,0.078452
637,0.022152,6.444,0.076133
638,0.022112,6.4832,0.076801
639,0.022073,6.5375,0.078345
640,0.022034,6.2649,0.07404
641,0.021996,6.0684,0.071762
642,0.021957,5.9349,0.069993
643,0.021918,5.8149,0.068432
644,0.02188,5.7628,0.068404
645,0.021841,5.6491,0.066961
646,0.021803,5.6422,0.066544
647,0.021765,5.4762,0.065522
648,0.021727,5.643,0.066987
649,0.021689,5.7984,0.069217
650,0.021651,5.6236,0.067158
651,0.021613,5.5998,0.067172
652,0.021575,5.527,0.066509
653,0.021537,5.6539,0.067572
654,0.021444,5.7257,0.034494
655,0.021295,5.6314,0.034344
656,0.021148,5.6846,0.034811
657,0.021003,5.7679,0.035621
658,0.020859,5.757,0.035806
659,0.020716,5.6988,0.035588
660,0.020575,5.755,0.036145
661,0.020436,5.7235,0.03637
662,0.020297,5.7411,0.036798
663,0.020161,5.7689,0.037349
664,0.020025,5.8606,0.038246
665,0.019947,5.9948,0.094823
666,0.019924,5.8354,0.093439
667,0.019902,5.8621,0.094541
668,0.01988,5.9332,0.095819
669,0.019858,6.0987,0.098069
670,0.019835,5.7557,0.093046
671,0.019813,5.9977,0.09695
672,0.019791,5.9161,0.096169
673,0.019769,5.8449,0.095136
674,0.019747,5.8394,0.095146
675,0.019725,5.8034,0.093496
676,0.019703,5.9403,0.095595
677,0.019681,6.021,0.097522
678,0.01966,5.9338,0.096678
679,0.019638,6.0723,0.098926
680,0.019616,6.1475,0.099569
681,0.019594,5.795,0.094407
682,0.019572,5.7614,0.09457
683,0.019551,5.5878,0.091708
684,0.019529,5.4991,0.090004
685,0.019507,5.3066,0.086826
686,0.019486,4.9621,0.082729
687,0.019464,4.9378,0.082196
688,0.019443,4.8622,0.081038
689,0.019421,4.859,0.081758
690,0.0194,4.8608,0.081504
691,0.019379,4.724,0.079123
692,0.019357,4.9056,0.08236
693,0.019336,4.8555,0.080777
694,0.019315,4.6769,0.079311
695,0.019293,4.7516,0.079985
696,0.019272,4.6667,0.079163
697,0.019251,4.8378,0.080967
698,0.01923,4.6869,0.079718
699,0.019156,4.7224,0.03272
700,0.019031,4.7522,0.033205
701,0.018906,4.6965,0.033234
702,0.018783,4.7253,0.033685
703,0.018661,4.7783,0.034198
704,0.018541,4.7865,0.034575
